item_id,current_stock,units_sold_last_30_days,production_lead_time_days,last_updated
C001,120,300,14,2026-09-15
C002,40,180,21,2026-09-15
C003,600,90,10,2026-09-15
C004,80,210,18,2026-09-15
C005,900,15,25,2026-09-15
C006,150,60,20,2026-09-15
C007,30,150,12,2026-09-15
C008,500,240,14,2026-09-15
C009,200,45,28,2026-09-15
C010,700,20,15,2026-09-15
C011,60,90,10,2026-09-15
C012,110,130,16,2026-09-15
C013,400,60,8,2026-09-15
C014,250,30,30,2026-09-15
C015,90,100,12,2026-09-15
C016,180,40,22,2026-09-15
C017,50,160,20,2026-09-15
C018,800,10,18,2026-09-15
